Item,Value,comment1,GPIO_pin
PAD_DS_LGPIO16,A40,L_GPIO_16,
PAD_DS_LGPIO17,A44,L_GPIO_17,
PAD_DS_LGPIO18,A48,L_GPIO_18,
PAD_DS_LGPIO19,A4C,L_GPIO_19,
PAD_DS_LGPIO20,A50,L_GPIO_20,
PAD_DS_LGPIO21,A54,L_GPIO_21,
PAD_DS_LGPIO22,A58,L_GPIO_22,
PAD_DS_LGPIO23,A5C,L_GPIO_23,
PAD_DS_LGPIO24,A60,L_GPIO_24,
PAD_DS_SGPIO0,B00,S_GPIO_0,
PAD_DS_SGPIO1,B04,S_GPIO_1,
PAD_DS_SGPIO2,B08,S_GPIO_2,
PAD_DS_SGPIO3,B0C,S_GPIO_3,
PAD_DS_SGPIO4,B10,S_GPIO_4,
PAD_DS_SGPIO5,B14,S_GPIO_5,
PAD_DS_SGPIO6,B18,S_GPIO_6,
PAD_DS_SGPIO7,B1C,S_GPIO_7,
PAD_DS_SGPIO8,B20,S_GPIO_8,
PAD_DS_SGPIO9,B24,S_GPIO_9,
PAD_DS_SGPIO10,B28,S_GPIO_10,
PAD_DS_SGPIO11,B2C,S_GPIO_11,
PAD_DS_SGPIO12,B30,S_GPIO_12,
PAD_DS_SGPIO13,B34,S_GPIO_13,
PAD_DS_SGPIO14,B38,S_GPIO_14,
PAD_DS_SGPIO15,B3C,S_GPIO_15,
PAD_DS_HSIGPIO0,C00,HSI_GPIO_0,
PAD_DS_HSIGPIO1,C04,HSI_GPIO_1,
PAD_DS_HSIGPIO2,C08,HSI_GPIO_2,
PAD_DS_HSIGPIO3,C0C,HSI_GPIO_3,
PAD_DS_HSIGPIO4,C10,HSI_GPIO_4,
PAD_DS_HSIGPIO5,C14,HSI_GPIO_5,
PAD_DS_HSIGPIO6,C18,HSI_GPIO_6,
PAD_DS_HSIGPIO7,C1C,HSI_GPIO_7,
PAD_DS_HSIGPIO8,C20,HSI_GPIO_8,
PAD_DS_HSIGPIO9,C24,HSI_GPIO_9,
PAD_DS_HSIGPIO10,C28,HSI_GPIO_10,
PAD_DS_HSIGPIO11,C2C,HSI_GPIO_11,
PAD_DS_HSIGPIO12,C30,HSI_GPIO_12,
PAD_DS_HSIGPIO13,C34,HSI_GPIO_13,
PAD_DS_HSIGPIO14,C38,HSI_GPIO_14,
PAD_DS_HSIGPIO15,C3C,HSI_GPIO_15,
PAD_DS_HSIGPIO16,C40,HSI_GPIO_16,
PAD_DS_HSIGPIO17,C44,HSI_GPIO_17,
PAD_DS_HSIGPIO18,C48,HSI_GPIO_18,
PAD_DS_HSIGPIO19,C4C,HSI_GPIO_19,
PAD_DS_HSIGPIO20,C50,HSI_GPIO_20,
PAD_DS_HSIGPIO21,C54,HSI_GPIO_21,
PAD_DS_HSIGPIO22,C58,HSI_GPIO_22,
PAD_DS_HSIGPIO23,C5C,HSI_GPIO_23,
PAD_DS_AGPIO0,D00,A_GPIO_0,
PAD_DS_AGPIO1,D04,A_GPIO_1,
PAD_DS_AGPIO2,D08,A_GPIO_2,
PAD_DS_MAX,0,,
PAD_1P8V_SN_MAGIC,21368,,
PAD_1P8V_P1_MAGIC,32817,,
PAD_1P8V_SD3_MAGIC,5456947,,
PAD_POWERID_MC0,0,Pad power id for MC0 LDO,
PAD_POWERID_MC1,1,Pad power id for MC1 LDO,
PAD_POWERID_ADC,2,Pad power id for ADC (backward compatible),
PAD_POWERID_CSI,4,Pad power id for CSI (backward compatible),
PAD_POWERID_SN,10,Pad power id for SN  REG,
PAD_POWERID_P1,20,Pad power id for P1  REG,
PAD_POWERID_SD3,40,Pad power id for SD3 REG,
PAD_3P3V,0,Pad power is 1.8V,
PAD_1P8V,1,Pad power is 3.3V,
PAD_AVDD,0,Pad power is AVDD ( for PAD_POWERID_ADC use) (backward compatible),
PAD_PAD_VAD,1,Pad power is PAD_ADC_VAD ( for PAD_POWERID_ADC use) (backward compatible),
PAD_VAD_2P9V,0,Pad power VAD = 2.9V <ADC> (backward compatible),
PAD_VAD_3P0V,1,Pad power VAD = 3.0V <ADC> (backward compatible),
PAD_VAD_3P1V,3,Pad power VAD = 3.1V <ADC> (backward compatible),
PAD_VAD_2P4V,100,Pad power VAD = 2.4V <CSI> (backward compatible),
PAD_VAD_2P5V,101,Pad power VAD = 2.5V <CSI> (backward compatible),
PAD_VAD_2P6V,103,Pad power VAD = 2.6V <CSI> (backward compatible),
